From,To,Resources,Network_type,tc_min,tc_max
IE,FR,GAS,GAS_SUBSEA,0.0,20.0
IE,GB,GAS,GAS_SUBSEA,16.12083333,24.18125
IT,AL,GAS,GAS_SUBSEA,20.29583333,30.44375
IT,AT,GAS,GAS_PIPELINE,48.91666667,73.375
IT,CH,GAS,GAS_PIPELINE,26.54166667,39.8125
IT,FR,GAS,GAS_PIPELINE,0.0,20.0
IT,GR,GAS,GAS_SUBSEA,20.58333333,30.875
IT,HR,GAS,GAS_SUBSEA,0.0,20.0
IT,ME,GAS,GAS_SUBSEA,0.0,20.0
IT,SI,GAS,GAS_PIPELINE,1.166666667,20.0
LT,LV,GAS,GAS_PIPELINE,3.75,20.0
LT,PL,GAS,GAS_PIPELINE,2.416666667,20.0
LT,SE,GAS,GAS_SUBSEA,0.0,20.0
LU,BE,GAS,GAS_PIPELINE,2.041666667,20.0
LU,DE,GAS,GAS_PIPELINE,1.0,20.0
LU,FR,GAS,GAS_PIPELINE,0.0,20.0
LV,EE,GAS,GAS_PIPELINE,6.875,20.0
LV,LT,GAS,GAS_PIPELINE,3.75,20.0
LV,SE,GAS,GAS_SUBSEA,0.0,20.0
ME,AL,GAS,GAS_PIPELINE,0.0,20.0
ME,BA,GAS,GAS_PIPELINE,0.0,20.0
ME,IT,GAS,GAS_SUBSEA,0.0,20.0
ME,RS,GAS,GAS_PIPELINE,0.0,20.0
ME,XK,GAS,GAS_PIPELINE,0.0,20.0
MK,AL,GAS,GAS_PIPELINE,0.0,20.0
MK,BG,GAS,GAS_PIPELINE,1.141666667,20.0
MK,GR,GAS,GAS_PIPELINE,0.0,20.0
MK,RS,GAS,GAS_PIPELINE,0.0,20.0
MK,XK,GAS,GAS_PIPELINE,0.0,20.0
NL,BE,GAS,GAS_PIPELINE,57.79166667,86.6875
NL,DE,GAS,GAS_PIPELINE,50.95833333,76.4375
NL,DK,GAS,GAS_SUBSEA,0.0,20.0
NL,GB,GAS,GAS_SUBSEA,20.58333333,30.875
NL,NO,GAS,GAS_SUBSEA,61.72916667,92.59375
NO,BE,GAS,GAS_SUBSEA,20.33333333,30.5
NO,DE,GAS,GAS_SUBSEA,23.99583333,35.99375
NO,DK,GAS,GAS_SUBSEA,16.5,24.75
NO,FR,GAS,GAS_SUBSEA,23.75,35.625
NO,GB,GAS,GAS_SUBSEA,62.4625,93.69375
NO,NL,GAS,GAS_SUBSEA,61.72916667,92.59375
NO,SE,GAS,GAS_PIPELINE,0.0,20.0
PL,CZ,GAS,GAS_PIPELINE,1.166666667,20.0
PL,DE,GAS,GAS_PIPELINE,13.58333333,20.375
PL,DK,GAS,GAS_SUBSEA,13.41666667,20.125
PL,LT,GAS,GAS_PIPELINE,2.416666667,20.0
PL,SE,GAS,GAS_SUBSEA,0.0,20.0
PL,SK,GAS,GAS_PIPELINE,7.25,20.0
PT,ES,GAS,GAS_PIPELINE,6.0,20.0
RO,BG,GAS,GAS_PIPELINE,10.79166667,20.0
RO,HU,GAS,GAS_PIPELINE,3.208333333,20.0
RO,RS,GAS,GAS_PIPELINE,0.0,20.0
RS,BA,GAS,GAS_PIPELINE,0.75,20.0
RS,BG,GAS,GAS_PIPELINE,16.70833333,25.0625
RS,HR,GAS,GAS_PIPELINE,0.0,20.0
RS,HU,GAS,GAS_PIPELINE,10.25,20.0
RS,ME,GAS,GAS_PIPELINE,0.0,20.0
RS,MK,GAS,GAS_PIPELINE,0.0,20.0
RS,RO,GAS,GAS_PIPELINE,0.0,20.0
RS,XK,GAS,GAS_PIPELINE,0.0,20.0
SE,DE,GAS,GAS_SUBSEA,0.0,20.0
SE,DK,GAS,GAS_SUBSEA,5.670833333,20.0
SE,EE,GAS,GAS_SUBSEA,0.0,20.0
SE,FI,GAS,GAS_SUBSEA,0.0,20.0
SE,LT,GAS,GAS_SUBSEA,0.0,20.0
SE,LV,GAS,GAS_SUBSEA,0.0,20.0
SE,NO,GAS,GAS_PIPELINE,0.0,20.0
SE,PL,GAS,GAS_SUBSEA,0.0,20.0
SI,AT,GAS,GAS_PIPELINE,4.708333333,20.0
SI,HR,GAS,GAS_PIPELINE,2.25,20.0
SI,HU,GAS,GAS_PIPELINE,0.0,20.0
SI,IT,GAS,GAS_PIPELINE,1.166666667,20.0
SK,AT,GAS,GAS_PIPELINE,65.41666667,98.125
SK,CZ,GAS,GAS_PIPELINE,51.91666667,77.875
SK,HU,GAS,GAS_PIPELINE,5.375,20.0
SK,PL,GAS,GAS_PIPELINE,7.25,20.0
XK,AL,GAS,GAS_PIPELINE,0.0,20.0
XK,ME,GAS,GAS_PIPELINE,0.0,20.0
XK,MK,GAS,GAS_PIPELINE,0.0,20.0
XK,RS,GAS,GAS_PIPELINE,0.0,20.0
AL,GR,H2,H2_RETROFITTED,0.0,1.397342995
AL,IT,H2,H2_SUBSEA_RETRO,0.0,12.74617552
AL,ME,H2,H2_RETROFITTED,0.0,0.0
AL,MK,H2,H2_RETROFITTED,0.0,0.0
AL,XK,H2,H2_RETROFITTED,0.0,0.0
AT,CH,H2,H2_RETROFITTED,0.0,0.0
AT,CZ,H2,H2_RETROFITTED,0.0,0.0
AT,DE,H2,H2_RETROFITTED,0.0,8.870772947
AT,HU,H2,H2_RETROFITTED,0.0,4.003623188
AT,IT,H2,H2_RETROFITTED,0.0,30.72061192
AT,SI,H2,H2_RETROFITTED,0.0,2.956924316
AT,SK,H2,H2_RETROFITTED,0.0,41.08293076
BA,HR,H2,H2_RETROFITTED,0.0,0.0
BA,ME,H2,H2_RETROFITTED,0.0,0.0
BA,RS,H2,H2_RETROFITTED,0.0,0.471014493
BE,DE,H2,H2_RETROFITTED,0.0,11.38285024
BE,DK,H2,H2_SUBSEA_RETRO,0.0,0.0
BE,FR,H2,H2_RETROFITTED,0.0,21.98067633
BE,GB,H2,H2_SUBSEA_RETRO,0.0,21.01247987
BE,LU,H2,H2_RETROFITTED,0.0,1.282206119
BE,NL,H2,H2_RETROFITTED,0.0,36.29428341
BE,NO,H2,H2_SUBSEA_RETRO,0.0,12.76972625
BG,GR,H2,H2_RETROFITTED,0.0,3.061594203
BG,MK,H2,H2_RETROFITTED,0.0,0.716988728
BG,RO,H2,H2_RETROFITTED,0.0,6.777375201
BG,RS,H2,H2_RETROFITTED,0.0,10.4931562
CH,AT,H2,H2_RETROFITTED,0.0,0.0
CH,DE,H2,H2_RETROFITTED,0.0,9.080112721
CH,FR,H2,H2_RETROFITTED,0.0,5.835346216
CH,IT,H2,H2_RETROFITTED,0.0,16.66867955
CZ,AT,H2,H2_RETROFITTED,0.0,0.0
CZ,DE,H2,H2_RETROFITTED,0.0,56.12922705
CZ,PL,H2,H2_RETROFITTED,0.0,0.732689211
CZ,SK,H2,H2_RETROFITTED,0.0,32.60466989
DE,AT,H2,H2_RETROFITTED,0.0,8.870772947
DE,BE,H2,H2_RETROFITTED,0.0,11.38285024
DE,CH,H2,H2_RETROFITTED,0.0,9.080112721
DE,CZ,H2,H2_RETROFITTED,0.0,56.12922705
DE,DK,H2,H2_RETROFITTED,0.0,3.244766506
DE,FR,H2,H2_RETROFITTED,0.0,16.0668277
DE,LU,H2,H2_RETROFITTED,0.0,0.628019324
DE,NL,H2,H2_RETROFITTED,0.0,32.00281804
DE,NO,H2,H2_SUBSEA_RETRO,0.0,15.06984702
DE,PL,H2,H2_RETROFITTED,0.0,8.530595813
DE,SE,H2,H2_SUBSEA_RETRO,0.0,0.0
DK,BE,H2,H2_SUBSEA_RETRO,0.0,0.0
DK,DE,H2,H2_RETROFITTED,0.0,3.244766506
DK,GB,H2,H2_SUBSEA_RETRO,0.0,0.0
DK,NL,H2,H2_SUBSEA_RETRO,0.0,0.0
DK,NO,H2,H2_SUBSEA_RETRO,0.0,10.36231884
DK,PL,H2,H2_SUBSEA_RETRO,0.0,8.425925926
DK,SE,H2,H2_SUBSEA_RETRO,0.0,3.561392915
EE,FI,H2,H2_SUBSEA_RETRO,0.0,2.355072464
EE,LV,H2,H2_RETROFITTED,0.0,4.31763285
EE,SE,H2,H2_SUBSEA_RETRO,0.0,0.0
ES,FR,H2,H2_RETROFITTED,0.0,5.861513688
ES,PT,H2,H2_RETROFITTED,0.0,3.768115942
FI,EE,H2,H2_SUBSEA_RETRO,0.0,2.355072464
FI,SE,H2,H2_SUBSEA_RETRO,0.0,0.0
FR,BE,H2,H2_RETROFITTED,0.0,21.98067633
FR,CH,H2,H2_RETROFITTED,0.0,5.835346216
FR,DE,H2,H2_RETROFITTED,0.0,16.0668277
FR,ES,H2,H2_RETROFITTED,0.0,5.861513688
FR,GB,H2,H2_SUBSEA_RETRO,0.0,0.0
FR,IE,H2,H2_SUBSEA_RETRO,0.0,0.0
FR,IT,H2,H2_RETROFITTED,0.0,0.0
FR,LU,H2,H2_RETROFITTED,0.0,0.0
FR,NO,H2,H2_SUBSEA_RETRO,0.0,14.91545894
GB,BE,H2,H2_SUBSEA_RETRO,0.0,21.01247987
GB,DK,H2,H2_SUBSEA_RETRO,0.0,0.0
GB,FR,H2,H2_SUBSEA_RETRO,0.0,0.0
GB,IE,H2,H2_SUBSEA_RETRO,0.0,10.12419485
GB,NL,H2,H2_SUBSEA_RETRO,0.0,12.92673108
GB,NO,H2,H2_SUBSEA_RETRO,0.0,39.227657
GR,AL,H2,H2_RETROFITTED,0.0,1.397342995
GR,BG,H2,H2_RETROFITTED,0.0,3.061594203
GR,IT,H2,H2_SUBSEA_RETRO,0.0,12.92673108
GR,MK,H2,H2_RETROFITTED,0.0,0.0
HR,BA,H2,H2_RETROFITTED,0.0,0.0
HR,HU,H2,H2_RETROFITTED,0.0,2.041062802
HR,IT,H2,H2_SUBSEA_RETRO,0.0,0.0
HR,RS,H2,H2_RETROFITTED,0.0,0.0
HR,SI,H2,H2_RETROFITTED,0.0,1.413043478
HU,AT,H2,H2_RETROFITTED,0.0,4.003623188
